[0.212s] Invoking command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --build /home/tparu001k/turtlebot3_ws/build/turtlebot3_description -- -j8 -l8
[2.905s] Invoked command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --build /home/tparu001k/turtlebot3_ws/build/turtlebot3_description -- -j8 -l8
[3.120s] Invoking command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --install /home/tparu001k/turtlebot3_ws/build/turtlebot3_description
[3.196s] -- Install configuration: ""
[3.198s] -- Execute custom install script
[3.217s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.stl
[3.219s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.stl
[3.223s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.stl
[3.234s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.dae
[3.236s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.jpg
[3.254s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.stl
[3.255s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.dae
[3.260s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.jpg
[3.265s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.stl
